City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,maku,39.2911,44.4521,282.43,70,100,1.75,IR,1679420942
274,orumiyeh,37.5527,45.0761,276.9,93,100,4.12,IR,1679420671
275,arrecife,28.963,-13.5477,294.14,64,20,8.75,ES,1679420943
276,verkh-usugli,52.7,115.1667,261.43,90,100,7.45,RU,1679420943
277,progreso,21.2833,-89.6667,303.77,56,39,6.93,MX,1679420830
278,canon city,38.441,-105.2424,286.58,20,0,9.77,US,1679420943
279,lompoc,34.6391,-120.4579,287.37,75,75,12.07,US,1679420944
280,kuytun,54.3419,101.5036,249.85,100,36,1.53,RU,1679420944
281,alekseyevsk,57.8406,108.3492,246.6,100,67,0.39,RU,1679420945
282,conakry,9.538,-13.6773,304.19,55,0,4.12,GN,1679420945
283,opuwo,-18.0607,13.84,299.82,26,86,5.21,NA,1679420946
284,reinosa,42.9996,-4.138,283.41,82,37,1.58,ES,1679420946
285,hovd,48.0056,91.6419,262.55,41,5,0.91,MN,1679420947
286,ponta delgada,37.7333,-25.6667,290.55,82,20,7.72,PT,1679420878
287,mackay,-21.15,149.2,296.86,74,38,8.24,AU,1679420849
288,mitsamiouli,-11.3847,43.2844,301.0,76,99,2.72,KM,1679420947
289,lazaro cardenas,17.9583,-102.2,303.63,38,0,3.65,MX,1679420822
290,guerrero negro,27.9769,-114.0611,293.72,56,94,2.47,MX,1679420948
291,istok,42.7808,20.4875,283.01,91,100,1.22,XK,1679420948
292,casper,42.8666,-106.3131,276.93,38,0,11.83,US,1679420949
293,linares,-35.85,-71.6,304.25,10,0,2.91,CL,1679420949
294,puerto cabezas,14.0351,-83.3888,303.13,79,75,6.17,NI,1679420950
295,lavrentiya,65.5833,-171.0,263.98,93,100,6.56,RU,1679420950
296,portland,45.5234,-122.6762,284.23,86,40,2.68,US,1679420703
297,jumla,29.2747,82.1838,278.66,95,100,1.09,NP,1679420951
298,lasa,46.6166,10.7002,285.2,83,98,0.99,IT,1679420951
299,torquay,50.4638,-3.5143,285.14,89,67,5.81,GB,1679420952
300,sinaloa,25.0,-107.5,302.39,22,19,2.37,MX,1679420952
301,molchanovo,57.5817,83.7692,263.39,97,88,2.25,RU,1679420953
302,albanel,48.8832,-72.4487,268.14,42,71,1.54,CA,1679420953
303,tuy hoa,13.0833,109.3,295.84,91,76,2.36,VN,1679420957
304,saldanha,-33.0117,17.9442,293.18,86,5,4.11,ZA,1679420958
305,mildura,-34.2,142.15,293.81,74,48,2.6,AU,1679420958
306,valparaiso,-33.0393,-71.6273,294.26,76,20,2.57,CL,1679420674
307,amboasary,-25.0333,46.3833,296.62,88,67,3.99,MG,1679420960
